ExtSiteID,BandNumber,MinAllocation,MinTrigger,MaxAllocation,MaxTrigger
1003,4,0,0.359,104,0.41
1696298,1,0,369.99,101,370.0
171127,2,1,0.0299,106,0.03
1711351,3,0,0.02,104,0.1
1840,1,0,0.199,104,0.45
266401,4,0,41.0001,108,63.0
266401,16,0,43.0,104,63.0
428,5,5,0.298,104,0.3
523,1,0,0.005,104,0.0151
523,2,0,0.005,104,0.0151
576,1,0,0.689,104,0.69
64602,5,0,14.99,104,37.0
64602,7,0,14.99,104,40.0
65104,30,0,11.9999,104,15.0001
65104,32,0,18.4699,104,26.47
65104,33,0,28.4699,104,36.47
6852602,26,0,93.2779,104,149.062
6852602,29,0,162.9999,104,212.0
68801,2,0,3.4999,103,9.0
69508,1,0,0.5699,103,1.1
69508,2,0,0.5699,103,1.0
69635,2,0,1.099,102,1.4099
69660,2,0,369.99,101,375.0
69660,3,0,369.99,101,375.0
70701,1,81,0.0299,105,0.05
